optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,num_filters,filter_sizes,dropout_rate,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,2,0.5,74.77,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,3,0.4,77.02,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,4,0.27,78.24,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,5,0.25,78.14,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,6,0.23,77.58,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,7,0.22,78.05,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,8,0.22,78.14,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,9,0.22,78.05,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,10,0.22,77.95,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,11,0.22,77.95,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,12,0.22,77.95,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,13,0.22,77.95,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,unknown_token,100,glove.6B.100d.txt,14,0.21,77.95,78.52
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,1,0.64,72.05,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,2,0.5,73.55,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,3,0.39,73.64,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,4,0.27,73.17,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,5,0.24,73.92,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,6,0.23,73.08,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,7,0.21,73.26,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,8,0.21,73.92,74.39
Adam,0.001,0.9,0.0001,32,100,10,CNN,128,"[2, 3]",0.7,2,False,random,100,glove.6B.100d.txt,9,0.21,74.48,74.39
